market_segment,previous_cancellations,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,lead_time,is_canceled
Direct,0,No Deposit,0,Transient,E,0,1,234,1
Groups,0,No Deposit,0,Transient,A,1,0,154,0
Online TA,0,No Deposit,0,Transient,F,0,0,117,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,100,0
Groups,0,No Deposit,0,Contract,A,0,0,124,0
Online TA,0,No Deposit,0,Transient,A,1,1,91,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,38,1
Corporate,0,No Deposit,0,Transient-Party,A,0,0,343,0
Online TA,0,No Deposit,0,Transient-Party,F,0,0,150,0
Direct,0,No Deposit,0,Transient,A,0,0,48,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,28,0
Online TA,0,No Deposit,0,Transient,D,1,1,2,0
Offline TA/TO,0,No Deposit,0,Transient,E,1,0,2,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,81,1
Online TA,0,No Deposit,0,Transient,E,1,1,15,0
Others,1,No Deposit,0,Transient,A,0,0,0,1
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,31,0
Offline TA/TO,0,No Deposit,0,Transient,B,0,1,40,0
Direct,0,No Deposit,0,Transient,E,0,1,189,0
Online TA,0,No Deposit,0,Transient,B,0,1,109,0
Direct,0,No Deposit,0,Transient,D,0,1,40,0
Online TA,0,No Deposit,0,Contract,A,0,1,40,0
Corporate,0,No Deposit,0,Transient,A,1,1,3,0
Groups,0,No Deposit,0,Contract,A,1,0,130,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,312,1
Offline TA/TO,0,No Deposit,0,Transient,E,1,0,27,0
Online TA,0,No Deposit,0,Transient,A,0,1,90,1
Online TA,0,No Deposit,0,Contract,F,0,0,40,0
Online TA,0,No Deposit,0,Transient,A,0,0,22,0
Online TA,0,No Deposit,0,Transient,F,0,1,130,0
Online TA,0,No Deposit,0,Transient-Party,F,1,1,307,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,247,0
Corporate,0,Non Refund,0,Transient,A,0,0,11,1
Online TA,0,No Deposit,0,Transient,B,0,1,315,0
Online TA,0,No Deposit,0,Transient,E,0,0,45,1
Groups,0,No Deposit,0,Transient-Party,A,0,0,5,0
Online TA,0,No Deposit,0,Transient,D,0,1,351,1
Online TA,0,No Deposit,0,Transient,A,0,1,118,0
Online TA,0,No Deposit,0,Transient,G,0,1,94,1
Online TA,0,No Deposit,0,Transient-Party,B,0,0,107,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,24,0
Online TA,0,No Deposit,0,Transient,A,0,0,97,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,143,0
Online TA,0,No Deposit,0,Transient-Party,D,1,1,199,0
Direct,0,No Deposit,0,Transient,D,0,1,51,0
Direct,0,No Deposit,0,Transient,D,0,0,3,1
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,210,0
Online TA,0,No Deposit,0,Transient,F,0,0,43,1
Online TA,1,No Deposit,0,Transient,B,0,1,88,1
Online TA,0,No Deposit,0,Transient,B,1,0,145,0
Online TA,0,No Deposit,0,Transient,G,1,0,29,0
Groups,0,No Deposit,0,Transient-Party,Others,0,0,103,0
Online TA,0,No Deposit,0,Transient,E,1,1,155,0
Direct,0,No Deposit,0,Transient,F,0,1,81,0
Direct,0,No Deposit,0,Transient,Others,0,0,117,1
Online TA,0,No Deposit,0,Transient,F,0,0,21,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,46,0
Online TA,0,No Deposit,0,Transient-Party,A,1,1,30,0
Others,0,No Deposit,0,Transient,F,1,1,13,0
Groups,0,No Deposit,0,Transient-Party,A,1,0,33,0
Corporate,0,No Deposit,0,Transient,A,0,1,8,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,72,0
Offline TA/TO,0,No Deposit,0,Transient,E,1,1,54,0
Direct,1,No Deposit,0,Transient,A,0,1,0,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,13,1
Direct,0,No Deposit,0,Transient,G,1,1,180,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,152,0
Others,0,No Deposit,0,Transient,A,0,0,4,0
Others,0,No Deposit,0,Transient,F,1,0,5,0
Online TA,0,No Deposit,0,Transient,A,0,1,201,0
Direct,0,No Deposit,0,Transient-Party,A,0,0,176,0
Online TA,0,No Deposit,0,Transient,D,0,1,7,1
Direct,0,No Deposit,0,Transient,A,0,1,48,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,28,0
Direct,0,No Deposit,0,Transient,F,0,0,203,0
Offline TA/TO,0,No Deposit,0,Group,D,0,0,50,0
Online TA,0,No Deposit,0,Transient-Party,A,1,0,17,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,219,0
Online TA,0,No Deposit,0,Transient,E,0,1,116,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,47,0
Online TA,0,No Deposit,0,Transient,Others,1,1,31,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,49,1
Online TA,0,No Deposit,0,Transient,E,0,1,61,1
Direct,0,No Deposit,0,Transient-Party,D,0,0,17,0
Online TA,0,No Deposit,0,Transient,D,0,1,165,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,116,0
Online TA,0,No Deposit,0,Transient,Others,0,1,23,1
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,0,183,0
Online TA,0,No Deposit,0,Transient,D,0,0,29,0
Offline TA/TO,1,Non Refund,0,Transient,A,0,0,205,1
Online TA,0,No Deposit,0,Transient,F,1,0,0,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,222,0
Online TA,0,No Deposit,0,Transient,E,1,1,9,0
Direct,0,No Deposit,0,Transient,A,0,0,15,1
Online TA,0,No Deposit,0,Transient,Others,1,0,122,0
Online TA,0,No Deposit,0,Transient,E,0,1,51,0
Online TA,0,No Deposit,0,Transient,E,0,1,55,1
Groups,0,No Deposit,0,Transient-Party,D,0,0,252,0
Online TA,0,No Deposit,0,Transient,D,0,1,106,0
Direct,0,No Deposit,0,Transient,E,0,1,230,0
Direct,0,No Deposit,0,Transient,A,1,1,68,0
Direct,0,No Deposit,0,Transient,F,0,0,7,0
Online TA,0,No Deposit,0,Transient,Others,0,0,25,0
Direct,0,No Deposit,0,Transient,G,0,0,140,0
Online TA,0,No Deposit,0,Transient,D,1,0,80,0
Direct,0,No Deposit,0,Transient,F,0,1,193,1
Offline TA/TO,0,No Deposit,0,Transient,Others,0,0,5,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,265,0
Online TA,0,No Deposit,0,Transient,B,0,1,104,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,116,0
Offline TA/TO,0,No Deposit,0,Contract,D,0,0,48,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,221,0
Online TA,0,No Deposit,0,Transient,A,0,0,4,1
Direct,0,No Deposit,0,Transient,Others,1,0,70,0
Direct,0,No Deposit,0,Transient,E,1,0,5,0
Online TA,0,No Deposit,0,Transient-Party,F,0,1,110,0
Online TA,0,No Deposit,0,Transient,D,1,1,238,0
Direct,0,No Deposit,0,Transient,A,0,0,148,0
Online TA,0,No Deposit,0,Transient,E,0,0,41,1
Online TA,0,No Deposit,0,Transient,E,0,1,38,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,7,1
Direct,0,No Deposit,0,Transient,A,0,1,34,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,72,0
Online TA,0,No Deposit,0,Transient,B,0,1,159,1
Online TA,0,No Deposit,0,Transient,A,1,1,60,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,341,0
Offline TA/TO,0,No Deposit,0,Transient,E,1,1,354,0
Direct,0,No Deposit,0,Transient-Party,E,0,1,2,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,394,0
Online TA,0,No Deposit,0,Group,D,0,1,41,0
Direct,0,No Deposit,0,Transient-Party,A,0,0,159,0
Corporate,1,No Deposit,0,Transient-Party,A,0,1,3,1
Online TA,0,No Deposit,0,Transient,D,0,0,10,0
Direct,0,No Deposit,0,Transient,D,1,1,11,0
Online TA,0,No Deposit,0,Transient,E,0,0,95,0
Direct,0,No Deposit,0,Transient,A,1,0,164,0
Online TA,0,No Deposit,0,Group,A,0,0,15,0
Online TA,0,No Deposit,0,Transient-Party,D,1,1,107,0
Online TA,0,No Deposit,0,Transient,A,0,1,140,1
Online TA,0,No Deposit,0,Transient,B,1,0,190,0
Direct,0,No Deposit,0,Transient,E,1,1,5,0
Online TA,0,No Deposit,0,Transient,Others,0,1,251,0
Online TA,0,No Deposit,0,Transient,B,0,1,37,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,15,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,1,1,11,0
Direct,0,No Deposit,0,Transient,E,0,1,153,0
Online TA,0,No Deposit,0,Transient,A,1,1,147,0
Online TA,0,No Deposit,0,Transient,E,0,1,210,1
Online TA,0,No Deposit,0,Transient,E,0,1,32,0
Online TA,0,No Deposit,0,Transient,G,0,1,5,0
Online TA,0,No Deposit,0,Transient,F,0,0,22,0
Online TA,0,No Deposit,0,Transient,D,0,1,192,1
Online TA,0,No Deposit,0,Transient-Party,E,0,1,26,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,159,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,260,1
Direct,0,No Deposit,0,Transient,A,1,1,273,0
Online TA,0,No Deposit,0,Transient,A,0,1,321,0
Online TA,0,No Deposit,0,Transient,F,0,1,134,1
Online TA,0,No Deposit,0,Contract,A,0,1,1,1
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,199,0
Offline TA/TO,0,No Deposit,0,Transient,Others,0,0,1,0
Direct,0,No Deposit,0,Transient,Others,0,0,0,1
Direct,0,No Deposit,0,Transient,G,0,0,21,0
Online TA,0,No Deposit,0,Contract,F,1,1,75,0
Online TA,0,No Deposit,0,Transient,B,0,0,43,1
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,14,0
Online TA,0,No Deposit,0,Transient-Party,Others,1,0,69,0
Online TA,0,No Deposit,0,Transient,Others,1,0,2,0
Direct,0,No Deposit,0,Transient,F,1,0,79,0
Direct,0,No Deposit,0,Transient,D,1,0,70,0
Direct,0,No Deposit,0,Transient,D,0,1,144,1
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,112,0
Online TA,0,No Deposit,0,Transient,A,1,0,12,0
Online TA,0,No Deposit,0,Transient,D,0,1,22,0
Direct,0,No Deposit,0,Transient,F,0,1,6,0
Online TA,0,No Deposit,0,Contract,F,0,1,0,0
Online TA,0,No Deposit,0,Transient,D,0,0,47,1
Direct,0,No Deposit,0,Transient,A,1,1,154,0
Direct,0,No Deposit,0,Transient,F,0,1,9,0
Online TA,0,No Deposit,0,Transient,A,0,1,329,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,219,1
Groups,0,No Deposit,0,Transient-Party,A,0,0,236,0
Direct,0,No Deposit,0,Group,G,1,0,7,0
Direct,0,No Deposit,0,Transient,A,0,0,9,1
Direct,0,No Deposit,0,Transient,A,1,1,22,0
Offline TA/TO,0,No Deposit,0,Transient,G,0,1,117,0
Direct,0,No Deposit,0,Transient,G,0,0,27,1
Direct,0,No Deposit,0,Transient,G,1,0,81,0
Online TA,0,No Deposit,0,Transient,F,0,1,65,1
Corporate,0,No Deposit,0,Transient-Party,D,0,0,16,0
Direct,0,No Deposit,0,Transient-Party,F,0,0,0,0
Direct,0,No Deposit,0,Transient,B,0,1,5,0
Direct,0,No Deposit,0,Transient,D,0,1,3,0
Online TA,0,No Deposit,0,Transient,G,1,1,84,0
Direct,0,No Deposit,0,Transient,Others,0,1,84,0
Online TA,0,No Deposit,0,Transient,G,0,0,42,0
Offline TA/TO,0,No Deposit,0,Group,A,0,0,9,0
Online TA,0,No Deposit,0,Transient,D,0,0,132,1
Online TA,0,No Deposit,0,Transient-Party,E,0,0,8,0
Online TA,0,No Deposit,0,Transient,A,0,0,93,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,25,1
Online TA,0,No Deposit,0,Transient,A,0,1,196,1
Offline TA/TO,0,No Deposit,0,Transient-Party,E,1,1,77,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,297,0
Online TA,0,No Deposit,0,Transient,F,0,0,138,1
Groups,0,No Deposit,0,Transient-Party,D,0,1,137,0
Online TA,0,No Deposit,0,Transient,G,0,0,31,0
Online TA,0,No Deposit,0,Transient,D,0,1,12,0
Direct,0,No Deposit,0,Group,G,1,1,1,0
Online TA,0,No Deposit,0,Transient,F,0,1,37,0
Online TA,0,No Deposit,0,Group,D,0,1,4,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,33,0
Others,0,No Deposit,0,Transient,E,0,1,29,0
Direct,0,No Deposit,0,Transient,A,0,1,78,1
Online TA,0,No Deposit,0,Transient,F,0,0,100,0
Online TA,0,No Deposit,0,Transient,F,0,0,20,1
Online TA,0,No Deposit,0,Transient,E,1,0,79,0
Corporate,0,No Deposit,0,Transient-Party,D,0,0,23,0
Offline TA/TO,0,No Deposit,0,Group,A,0,0,36,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,6,1
Offline TA/TO,0,No Deposit,0,Transient,Others,0,0,263,1
Online TA,0,No Deposit,0,Transient,F,0,1,193,0
Online TA,1,No Deposit,0,Transient,A,0,1,97,0
Direct,0,No Deposit,0,Transient,E,1,1,64,0
Online TA,0,No Deposit,0,Transient,A,0,1,271,1
Online TA,0,No Deposit,0,Transient,D,0,1,109,0
Offline TA/TO,0,No Deposit,0,Contract,D,0,1,106,0
Direct,0,No Deposit,0,Transient,D,0,1,4,0
Corporate,1,No Deposit,0,Transient-Party,A,0,0,13,0
Online TA,0,No Deposit,0,Transient,Others,0,1,24,0
Offline TA/TO,0,No Deposit,0,Transient-Party,G,0,0,190,0
Direct,0,No Deposit,0,Transient,E,0,0,52,0
Online TA,0,No Deposit,0,Transient,D,0,1,125,0
Online TA,0,No Deposit,0,Transient,A,0,1,8,0
Direct,0,No Deposit,0,Transient,Others,1,1,37,0
Direct,0,No Deposit,0,Transient,E,1,1,126,0
Direct,0,No Deposit,0,Transient,A,0,0,76,1
Groups,0,Refundable,0,Transient-Party,A,1,0,9,0
Others,0,No Deposit,0,Transient,A,0,0,13,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,20,0
Direct,0,No Deposit,0,Transient,G,0,1,12,0
Online TA,0,No Deposit,0,Transient,A,0,0,40,1
Online TA,0,No Deposit,0,Transient-Party,A,1,1,100,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,46,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,2,0
Groups,0,No Deposit,0,Transient-Party,F,0,0,7,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,35,0
Direct,0,No Deposit,0,Transient-Party,B,0,0,181,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,141,0
Direct,0,No Deposit,0,Transient,G,1,0,0,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,0,0
Online TA,0,No Deposit,0,Transient,E,0,0,108,0
Groups,0,No Deposit,0,Transient-Party,A,0,1,31,0
Corporate,0,No Deposit,0,Transient-Party,E,0,0,7,0
Online TA,0,No Deposit,0,Transient-Party,A,1,1,22,0
Offline TA/TO,0,No Deposit,0,Transient,D,1,1,46,0
Online TA,0,No Deposit,0,Group,D,1,1,9,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,77,0
Online TA,0,No Deposit,0,Transient-Party,E,0,1,39,0
Offline TA/TO,0,No Deposit,0,Contract,D,0,1,127,0
Direct,0,No Deposit,0,Transient,A,0,1,189,1
Online TA,0,No Deposit,0,Transient,G,0,1,300,0
Online TA,0,No Deposit,0,Transient,F,0,1,173,1
Direct,0,No Deposit,0,Transient,D,0,1,116,0
Online TA,0,No Deposit,0,Transient,F,0,1,204,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,21,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,21,0
Corporate,0,No Deposit,0,Group,D,0,0,0,0
Direct,0,No Deposit,0,Transient,A,0,1,31,0
Online TA,0,No Deposit,0,Transient,A,1,1,103,0
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,1,235,0
Direct,0,No Deposit,0,Transient,D,0,0,50,0
Online TA,0,No Deposit,0,Transient,F,0,0,77,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,56,0
Online TA,0,No Deposit,0,Transient,D,0,1,67,1
Online TA,0,No Deposit,0,Transient,F,0,0,83,1
Direct,1,No Deposit,0,Transient,D,0,1,2,0
Corporate,1,No Deposit,0,Transient,A,0,1,7,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,35,1
Direct,0,No Deposit,0,Transient,D,0,1,32,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,0,16,0
Online TA,0,No Deposit,0,Transient,E,0,1,121,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,63,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,188,0
Offline TA/TO,0,No Deposit,0,Transient,A,1,1,43,0
Corporate,1,No Deposit,0,Transient,A,0,0,2,0
Corporate,0,No Deposit,0,Transient,A,1,1,1,0
Online TA,0,No Deposit,0,Transient,F,0,1,30,1
Offline TA/TO,0,No Deposit,0,Contract,Others,0,0,13,1
Direct,0,No Deposit,0,Transient-Party,E,0,1,24,0
Online TA,0,No Deposit,0,Transient,A,0,1,17,1
Groups,0,Non Refund,0,Transient-Party,A,0,0,155,1
Direct,0,No Deposit,0,Transient,D,0,0,135,1
Direct,0,No Deposit,0,Transient,G,1,1,77,0
Online TA,0,No Deposit,0,Transient,G,0,1,275,0
Corporate,1,No Deposit,0,Transient,A,1,1,17,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,262,0
Online TA,1,No Deposit,0,Contract,A,0,1,29,1
Direct,0,No Deposit,0,Transient,E,0,1,11,0
Offline TA/TO,0,No Deposit,0,Transient,E,0,1,192,0
Offline TA/TO,0,No Deposit,0,Transient,G,0,0,10,0
Direct,0,No Deposit,0,Contract,A,0,1,67,0
Direct,0,No Deposit,0,Transient,Others,0,1,5,0
Online TA,0,No Deposit,0,Transient,G,0,1,59,0
Online TA,0,No Deposit,0,Transient,A,0,0,177,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,110,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,123,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,28,0
Direct,1,No Deposit,0,Transient-Party,B,0,1,174,1
Online TA,0,No Deposit,0,Transient,A,0,0,13,1
Direct,0,No Deposit,0,Transient,D,0,1,82,0
Corporate,0,No Deposit,0,Transient,A,0,1,11,0
Online TA,0,No Deposit,0,Transient,A,1,1,54,0
Direct,0,No Deposit,0,Transient,D,0,1,24,0
Online TA,0,No Deposit,0,Transient,D,1,1,16,0
Direct,0,No Deposit,0,Transient-Party,D,1,0,1,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,113,1
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,58,0
Direct,0,No Deposit,0,Transient-Party,E,0,0,5,0
Online TA,0,No Deposit,0,Transient-Party,G,1,1,15,0
Offline TA/TO,0,No Deposit,0,Transient-Party,B,0,1,117,0
Online TA,0,No Deposit,0,Transient,A,1,1,132,0
Online TA,0,No Deposit,0,Transient-Party,D,0,0,130,1
Direct,0,No Deposit,0,Transient-Party,F,1,1,9,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,17,0
Online TA,0,No Deposit,0,Transient,A,0,1,24,0
Offline TA/TO,0,No Deposit,0,Contract,E,0,1,29,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,120,0
Online TA,0,No Deposit,0,Transient,E,1,1,172,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,15,0
Online TA,0,No Deposit,0,Transient,A,0,1,108,0
Online TA,0,No Deposit,0,Transient,A,1,0,3,0
Corporate,0,No Deposit,0,Transient,E,0,0,13,0
Direct,0,No Deposit,0,Transient,G,1,0,5,0
Online TA,0,No Deposit,0,Transient,A,0,1,101,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,43,1
Offline TA/TO,1,No Deposit,0,Contract,A,0,1,202,1
Online TA,0,No Deposit,0,Transient,E,0,1,28,1
Online TA,0,No Deposit,0,Transient,B,0,0,215,1
Online TA,0,No Deposit,0,Transient,F,1,1,125,0
Groups,0,No Deposit,0,Transient-Party,D,0,0,277,0
Groups,0,No Deposit,0,Transient,A,0,0,16,0
Direct,0,No Deposit,0,Transient,A,1,1,56,0
Online TA,0,No Deposit,0,Transient,A,0,0,59,1
Others,0,No Deposit,0,Group,A,0,0,2,0
Online TA,0,No Deposit,0,Transient,D,1,1,99,0
Direct,0,No Deposit,0,Transient,Others,0,1,9,0
Online TA,0,No Deposit,0,Transient,A,0,0,95,1
Online TA,0,No Deposit,0,Transient-Party,G,1,1,76,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,252,1
Online TA,0,No Deposit,0,Transient,D,0,1,175,0
Direct,0,No Deposit,0,Transient,A,0,1,179,0
Direct,0,No Deposit,0,Transient,A,0,0,160,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,189,0
Online TA,0,No Deposit,0,Transient,A,1,0,47,0
Online TA,1,No Deposit,0,Transient,F,0,0,159,1
Offline TA/TO,0,No Deposit,0,Contract,D,1,0,29,0
Online TA,0,No Deposit,0,Transient,D,1,0,29,0
Direct,0,No Deposit,0,Transient,Others,1,0,12,0
Online TA,0,No Deposit,0,Transient,F,0,0,51,1
Online TA,0,No Deposit,0,Transient,D,0,1,122,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,35,0
Online TA,0,No Deposit,0,Transient,D,1,1,78,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,147,0
Online TA,0,No Deposit,0,Transient,E,0,1,93,0
Direct,0,No Deposit,0,Transient-Party,A,0,0,38,0
Online TA,0,No Deposit,0,Transient,A,0,1,320,1
Direct,0,No Deposit,0,Transient,A,0,1,199,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,264,0
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,0,48,0
Online TA,0,No Deposit,0,Transient,F,1,1,13,0
Online TA,0,No Deposit,0,Transient,G,0,1,266,1
Offline TA/TO,0,No Deposit,0,Contract,A,0,0,93,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,150,0
Online TA,0,No Deposit,0,Transient,G,0,1,51,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,166,0
Direct,0,No Deposit,0,Transient,A,0,1,9,1
Online TA,0,No Deposit,0,Transient,B,0,0,34,0
Groups,0,No Deposit,0,Transient-Party,E,0,1,107,0
Direct,0,No Deposit,0,Transient,D,0,0,152,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,18,0
Groups,0,No Deposit,0,Transient,D,0,0,275,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,181,0
Online TA,0,No Deposit,0,Transient,G,0,0,36,1
Online TA,0,No Deposit,0,Transient,D,0,1,190,0
Online TA,0,No Deposit,0,Contract,B,0,1,23,0
Online TA,0,No Deposit,0,Transient,G,1,1,18,0
Online TA,0,No Deposit,0,Transient,A,0,1,222,1
Direct,0,No Deposit,0,Transient-Party,B,0,0,92,0
Direct,0,No Deposit,0,Transient,F,0,0,83,0
Groups,0,Refundable,0,Transient-Party,A,0,0,169,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,21,0
Online TA,0,No Deposit,0,Transient,D,1,1,192,0
Direct,0,No Deposit,0,Transient,Others,0,1,28,0
Online TA,0,No Deposit,0,Transient,E,0,1,19,1
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,1,468,0
Online TA,0,No Deposit,0,Transient,D,1,0,3,0
Others,0,No Deposit,0,Transient,A,0,1,3,1
